#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile,Seat_Registered,Seat_Polled,Female_Voters,Male_Voters,Youth_Voters,Senior_Voters,youth_pct,services_pct,agri_pct,homemaker_pct,elderly_pct,Cultivators_Pct,AgriLabour_Pct,HouseholdIndustry_Pct,OtherWorkers_Pct,Literacy_Pct,Urban_Pct,Seat_Type,SC_Boost,Turnout_Surge_Type,TVK_Zone,Anti_Incumbency_Score,Incumbency_Factor,Voter_Profile_Extended,Winner_2021_Party,SC_ST_Pop_Pct,Margin_2021_Category,Incumbent_Recontesting,SC_Voter_Boost,Constituency_Registered_Voters
1,Gummidipoondi,-,254129,10.68%,Thiruvallur,Tiruvallur,1967.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Gummidipoondi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",254129,207902,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Gummidipoondi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,254129
2,Ponneri,SC,251397,6.89%,Thiruvallur,Tiruvallur,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Ponneri (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",251397,205667,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Ponneri (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,251397
3,Tiruttani,-,261857,10.51%,Thiruvallur,Arakkonam,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Tiruttani (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",261857,214225,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Tiruttani (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,261857
4,Thiruvallur,-,251018,9.54%,Thiruvallur,Tiruvallur,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Thiruvallur (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",251018,205357,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Thiruvallur (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,251018
5,Poonamallee,SC,368634,1.62%,Thiruvallur,Tiruvallur,1977.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Poonamallee (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",368634,301579,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Poonamallee (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,368634
6,Avadi,-,436177,3.48%,Thiruvallur,Tiruvallur,2011.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Avadi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",436177,356836,113169,108297,46951,81499,0.207,0.391,0.123,0.2,0.078,5.6,12.4,3.8,78.2,83.6,62.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Avadi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.0,COMFORTABLE,LIKELY_YES,0.75,436177
7,Maduravoyal,-,373283,19.16%,Chennai,Sriperumbudur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Maduravoyal (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",373283,319978,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Maduravoyal (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,373283
8,Ambattur,-,337019,14.02%,Chennai,Sriperumbudur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Ambattur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",337019,288892,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Ambattur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,337019
9,Madavaram,-,431796,7.42%,Chennai,Tiruvallur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Madavaram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",431796,370135,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Madavaram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,431796
10,Thiruvottiyur,-,244903,21.38%,Chennai,Chennai North,1967.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thiruvottiyur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",244903,209930,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Thiruvottiyur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,LANDSLIDE,LIKELY_YES,-0.38,244903
