#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile
1,Gummidipoondi,-,254129,10.68%,Thiruvallur,Tiruvallur,1967.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Gummidipoondi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
2,Ponneri,SC,251397,6.89%,Thiruvallur,Tiruvallur,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Ponneri (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
3,Tiruttani,-,261857,10.51%,Thiruvallur,Arakkonam,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Tiruttani (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
4,Thiruvallur,-,251018,9.54%,Thiruvallur,Tiruvallur,1952.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Thiruvallur (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
5,Poonamallee,SC,368634,1.62%,Thiruvallur,Tiruvallur,1977.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Poonamallee (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
6,Avadi,-,436177,3.48%,Thiruvallur,Tiruvallur,2011.0,,Tiruvallur,Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13,"Assembly Constituency: Avadi (Thiruvallur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
7,Maduravoyal,-,373283,19.16%,Chennai,Sriperumbudur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Maduravoyal (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
8,Ambattur,-,337019,14.02%,Chennai,Sriperumbudur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Ambattur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
9,Madavaram,-,431796,7.42%,Chennai,Tiruvallur,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Madavaram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
10,Thiruvottiyur,-,244903,21.38%,Chennai,Chennai North,1967.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thiruvottiyur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
11,Dr. Radhakrishnan Nagar,,199359,25.52%,Chennai,Chennai North,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Dr. Radhakrishnan Nagar (Chennai). Region Culture: Urban. Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
12,Perambur,-,226296,29.47%,Chennai,Chennai North,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Perambur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
13,Kolathur,-,211772,26.28%,Chennai,Chennai North,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Kolathur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
14,Villivakkam,-,163372,37.42%,Chennai,Chennai Central,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Villivakkam (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
15,Thiru-Vi-Ka-Nagar,SC,181621,18.51%,Chennai,Chennai North,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thiru-Vi-Ka-Nagar (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
