District,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats
Ariyalur,Mixed,644365,2.54,77.17,88.13,10.959999999999994,2
Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11
Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16
Coimbatore,Industrial,3023561,4.49,73.09,86.01,12.920000000000002,11
Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8
Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5
Dindigul,Agrarian,1883530,2.18,74.08,86.35,12.269999999999996,7
Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7
Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5
Kanchipuram,Mixed,1288731,5.73,72.25,84.19,11.939999999999998,5
Kanyakumari,Mixed,1586130,3.38,74.78,85.18,10.400000000000006,6
Karur,Mixed,941765,3.1,73.28,81.84,8.560000000000002,4
Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6
Madurai,Southern,2627029,3.18,72.27,83.66,11.39,10
Mayiladuthurai,Mixed,842631,3.23,70.69,81.46,10.769999999999996,3
Nagapattinam,Delta,644365,2.07,73.76,83.97,10.209999999999994,2
Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5
Perambalur,Mixed,545232,3.14,73.26,84.2,10.939999999999998,2
Pudukkottai,Mixed,1288731,3.23,72.4,84.63,12.22999999999999,5
Ramanathapuram,Mixed,1189598,2.82,74.38,80.48,6.1000000000000085,4
Ranipet,Mixed,1040898,3.49,72.53,84.51,11.980000000000004,4
Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11
Sivaganga,Mixed,1189598,3.01,72.49,83.36,10.870000000000005,4
Tenkasi,Mixed,1189598,2.98,71.68,82.12,10.439999999999998,4
Thanjavur,Delta,1982663,2.35,77.24,86.99,9.75,7
The Nilgiris,Mixed,594799,2.18,70.82,80.23,9.41000000000001,2
Theni,Mixed,1140031,3.41,72.52,85.73,13.210000000000008,4
Thoothukudi,Mixed,1486997,3.24,73.18,81.22,8.039999999999992,6
Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9
Tirunelveli,Southern,1387864,2.26,74.35,84.91,10.560000000000002,5
Tirupathur,Mixed,941765,2.16,73.59,85.09,11.5,4
Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8
Tiruvallur,Mixed,3519227,3.07,71.24,81.81,10.570000000000007,13
Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8
Tiruvarur,Delta,991331,2.27,75.34,88.22,12.879999999999995,4
Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5
Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6
Virudhunagar,Mixed,1635697,2.26,75.79,83.11,7.319999999999993,6
