Constituency,District,Culture,Seat_Polled,SPA_Votes,AIADMK_Votes,TVK_Votes,Others_Votes,SPA_Pct,AIADMK_Pct,TVK_Pct,Others_Pct,Winner,Winning_Votes,Margin_Votes,Margin_Pct
Gummidipoondi,Thiruvallur,Mixed,207771,78884,56233,36688,35966,37.97,27.06,17.66,17.31,SPA,78884,22651,10.9
Thiruvallur,Thiruvallur,Mixed,205241,77181,52498,31306,44256,37.61,25.58,15.25,21.56,SPA,77181,24683,12.03
Ponneri,Thiruvallur,Mixed,205552,69947,61324,35888,38393,34.03,29.83,17.46,18.68,SPA,69947,8623,4.2
Tiruttani,Thiruvallur,Mixed,214133,60545,54191,55220,44177,28.27,25.31,25.79,20.63,SPA,60545,5325,2.49
Maduravoyal,Chennai,Urban,319859,80376,91830,97269,50384,25.13,28.71,30.41,15.75,TVK,97269,5439,1.7
Ambattur,Chennai,Urban,288777,73112,63900,113407,38358,25.32,22.13,39.27,13.28,TVK,113407,40295,13.95
Poonamallee,Thiruvallur,Mixed,301472,79434,79175,69693,73170,26.35,26.26,23.12,24.27,SPA,79434,259,0.09
Madavaram,Chennai,Urban,370030,109323,98324,105164,57219,29.54,26.57,28.42,15.46,SPA,109323,4159,1.12
Thiruvottiyur,Chennai,Urban,209822,49108,36168,52548,71998,23.4,17.24,25.04,34.31,Others,71998,19450,9.27
Avadi,Thiruvallur,Mixed,356757,104272,96487,78510,77488,29.23,27.05,22.01,21.72,SPA,104272,7785,2.18
Perambur,Chennai,Urban,193874,46061,17456,95752,34605,23.76,9.0,49.39,17.85,TVK,95752,49691,25.63
Villivakkam,Chennai,Urban,139939,38284,40041,45755,15859,27.36,28.61,32.7,11.33,TVK,45755,5714,4.08
Dr. Radhakrishnan Nagar,Chennai,Urban,170794,55977,26406,62671,25740,32.77,15.46,36.69,15.07,TVK,62671,6694,3.92
Egmore,Chennai,Urban,118841,37999,24786,34936,21120,31.97,20.86,29.4,17.77,SPA,37999,3063,2.58
Kolathur,Chennai,Urban,181424,66116,38300,49932,27076,36.44,21.11,27.52,14.92,SPA,66116,16184,8.92
Royapuram,Chennai,Urban,136746,34098,31961,40563,30124,24.94,23.37,29.66,22.03,TVK,40563,6465,4.73
Thiru-Vi-Ka-Nagar,Chennai,Urban,155552,47679,29229,42067,36577,30.65,18.79,27.04,23.51,SPA,47679,5612,3.61
Chepauk-Thiruvallikeni,Chennai,Urban,142205,47532,30768,45150,18755,33.42,21.64,31.75,13.19,SPA,47532,2382,1.68
Harbour,Chennai,Urban,102865,27369,25199,31119,19178,26.61,24.5,30.25,18.64,TVK,31119,3750,3.65
Anna Nagar,Chennai,Urban,161769,39976,45733,51055,25005,24.71,28.27,31.56,15.46,TVK,51055,5322,3.29
Virugampakkam,Chennai,Urban,171831,45850,49052,47178,29751,26.68,28.55,27.46,17.31,AIADMK+,49052,1874,1.09
Thousand Lights,Chennai,Urban,134912,36432,20301,44411,33768,27.0,15.05,32.92,25.03,TVK,44411,7979,5.91
Saidapet,Chennai,Urban,174877,51177,47852,49331,26517,29.26,27.36,28.21,15.16,SPA,51177,1846,1.06
Mylapore,Chennai,Urban,170863,56506,36244,54768,23345,33.07,21.21,32.05,13.66,SPA,56506,1738,1.02
Sholinganallur,Chennai,Urban,474701,121191,99564,166043,87903,25.53,20.97,34.98,18.52,TVK,166043,44852,9.45
Alandur,Chennai,Urban,257951,76439,58796,82687,40029,29.63,22.79,32.06,15.52,TVK,82687,6248,2.42
Thiyagarayanagar,Chennai,Urban,135983,33679,33956,44700,23648,24.77,24.97,32.87,17.39,TVK,44700,10744,7.9
Velachery,Chennai,Urban,186041,46493,41373,70201,27974,24.99,22.24,37.73,15.04,TVK,70201,23708,12.74
Tambaram,Chengalpattu,Urban,273537,90517,70354,79388,33278,33.09,25.72,29.02,12.17,SPA,90517,11129,4.07
Chengalpattu,Chengalpattu,Urban,309021,100071,82043,81003,45904,32.38,26.55,26.21,14.85,SPA,100071,18028,5.83
Pallavaram,Chengalpattu,Urban,279260,70537,87048,62291,59384,25.26,31.17,22.31,21.26,AIADMK+,87048,16511,5.91
Cheyyur,Chengalpattu,Urban,168988,53957,34384,37764,42883,31.93,20.35,22.35,25.38,SPA,53957,11074,6.55
Sriperumbudur,Kancheepuram,Mixed,321298,103491,92541,67818,57448,32.21,28.8,21.11,17.88,SPA,103491,10950,3.41
Thiruporur,Chengalpattu,Urban,243967,77495,67802,56654,42016,31.76,27.79,23.22,17.22,SPA,77495,9693,3.97
Uthiramerur,Kancheepuram,Mixed,207131,66619,53242,52514,34756,32.16,25.7,25.35,16.78,SPA,66619,13377,6.46
Arakkonam,Ranipet,Mixed,169553,53180,50291,32428,33654,31.36,29.66,19.13,19.85,SPA,53180,2889,1.7
Sholingur,Ranipet,Mixed,217532,61878,69608,51200,34846,28.45,32.0,23.54,16.02,AIADMK+,69608,7730,3.55
Kancheepuram,Kancheepuram,Mixed,234597,71514,75974,61034,26075,30.48,32.38,26.02,11.11,AIADMK+,75974,4460,1.9
Madurantakam,Chengalpattu,Urban,176193,42518,34776,44776,54123,24.13,19.74,25.41,30.72,Others,54123,9347,5.3
Ranipet,Ranipet,Mixed,209702,64841,61009,39616,44236,30.92,29.09,18.89,21.09,SPA,64841,3832,1.83
Katpadi,Vellore,Mixed,185539,59568,70111,26654,29206,32.11,37.79,14.37,15.74,AIADMK+,70111,10543,5.68
Vellore,Vellore,Mixed,174007,50934,61703,38794,22576,29.27,35.46,22.29,12.97,AIADMK+,61703,10769,6.19
Gudiyatham,Vellore,Mixed,204098,70002,64461,41620,28015,34.3,31.58,20.39,13.73,SPA,70002,5541,2.71
Kilvaithinankuppam,Vellore,Mixed,174652,61414,55669,29947,27622,35.16,31.87,17.15,15.82,SPA,61414,5745,3.29
Arcot,Ranipet,Mixed,207217,61767,64483,31632,49335,29.81,31.12,15.27,23.81,AIADMK+,64483,2716,1.31
